URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
				
MEME DATE SEULEMENT				
				
<http://data.doremus.org/performance/d39a39a8-6c3e-33ac-854c-b14eb4d3174f>	1015035.ttl	Johann Sebastian Bach. Les Tempéraments	2014-03-20T19:00	
				
<http://data.doremus.org/performance/f658dda1-9b5e-3be4-8be1-042b780b3955>	15332.ttl	Les Maîtres du Motet français	2016-05-19T20:30	Similarité :0.428
<http://data.doremus.org/performance/4c628753-51a9-3ff8-8974-be39fbd50bab>	1049486.ttl	Orchestre de Paris, Daniel Harding	2016-05-19T20:30	
				
<http://data.doremus.org/performance/edf11f08-0139-3cd0-8a56-f393a7eac45d>	13399.ttl	Orchestre de Paris - Paavo Järvi - Radu Lupu - Katija Dragojevic	2016-05-19T20:30	Similarité :0.6345
<http://data.doremus.org/performance/4c628753-51a9-3ff8-8974-be39fbd50bab>	1049486.ttl	Orchestre de Paris, Daniel Harding	2016-05-19T20:30	
				
<http://data.doremus.org/performance/2bb46a2b-5f35-3698-be79-de685366a655>	16837.ttl	Orchestre de Paris	2014-04-11T20:00	Similarité :0.5445
<http://data.doremus.org/performance/0b5a2ca0-74ca-37a9-b2d4-cb6509de81c9>	1016854.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung	2014-04-11T20:00	
				
<http://data.doremus.org/performance/60e488da-91af-3627-920d-2a7000a04d23>	15553.ttl	Roméo et Juliette	2016-01-24T11:00	Similarité :0.3425
<http://data.doremus.org/performance/f2d5153c-ef96-3b92-9a69-5ea8fbd950a8>	1046555.ttl	Biennale de quatuors à cordes. Quatuor Modigliani	2016-01-24T11:00	
				
<http://data.doremus.org/performance/2657c364-b88b-342b-b7c6-0787f42ff37f>	15249.ttl	Barbara Hendricks	2016-03-12T20:30	Similarité :0.288
<http://data.doremus.org/performance/9ada2a80-b36b-3e0b-88e6-ccf8c88770ea>	1050318.ttl	Cycle Figures féminines. Iliade l'amour de Betsy Jolas	2016-03-12T20:30	
				
<http://data.doremus.org/performance/04a26bb6-33da-3680-83e9-a1402a39581b>	15277.ttl	Le Sacre du printemps	2016-04-08T20:30	Similarité :0.544
<http://data.doremus.org/performance/abf14b13-6240-3a96-9496-ed1cc11187e2>	1049476.ttl	Le Sacre du printemps. Orchestre national d+Île-de-France, Enrique Mazzola	2016-04-08T20:30	
				
<http://data.doremus.org/performance/458f57db-3d73-348d-9eba-4e6cb9d4e81b>	14065.ttl	Rising Stars : Quatuor Ardeo	2015-01-25T16:30	Similarité :0.422
<http://data.doremus.org/performance/7a4869d6-01a6-3288-af89-8e5a90938b5d>	1029290.ttl	Gustavo Dudamel 2	2015-01-25T16:30	
				
<http://data.doremus.org/performance/c2aeca1a-6e1e-3358-a353-8f1c98c96a0a>	14091.ttl	Madrigaux guerriers	2015-04-20T20:30	Similarité :0.6575
<http://data.doremus.org/performance/97e99afd-42e7-3c3a-9b45-f768f7f6a986>	1033095.ttl	Madrigaux guerriers. Paul Agnew, Les Arts Florissants	2015-04-20T20:30	
				
<http://data.doremus.org/performance/4d637107-9290-348d-94ca-154454177fd4>	13511.ttl	Béatrice Martin	2014-03-13T19:00	Similarité :0.41950000000000004
