URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME DATE – TITRE LEGEREMENT DIFFERENT				
				
<http://data.doremus.org/performance/7e969173-20e5-3af0-bd94-f1a658c5020f>	17526.ttl	"\""Tribute to Fela\"" feat. Seun Kuti & Egypt 80, Talib Kweli, Ibeyi, Tony Allen, Cheick Tidiane Seck.."	2016-09-08T20:00	Similarité :0.8325
<http://data.doremus.org/performance/4d6106e9-bfa8-3508-98f9-becc4d7a633f>	1056261.ttl	"Jazz à la Villette : \""Tribute to Fela\"" feat. Seun Kuti & Egypt 80, Talib Kweli, Ibeyi, Tony Allen, Cheick Tidiane Seck"	2016-09-08T20:00	
				
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>	13169.ttl	Les Dissonances - David Grimal 	2014-03-01T16:30	Similarité :0.6990000000000001
<http://data.doremus.org/performance/27737cbc-c8f2-34da-87b3-20ce7c93e0bf>	1018848.ttl	Mozart enfant. Les Dissonances, David Grimal	2014-03-01T16:30	
				
<http://data.doremus.org/performance/ccceff89-8f85-3ad5-af3b-9fbf86ce4a7c>	13316.ttl	Orchestre du Théâtre Mariinsky - Valery Gergiev - Daniil Trifonov 	2013-12-01T16:00	Similarité :0.882
<http://data.doremus.org/performance/4122d11f-104a-344b-9651-daee1f0be5ee>	1011723.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev, Daniil Trifonov, Timur Martynov	2013-12-01T16:00	
				
<http://data.doremus.org/performance/196a0f5a-b99a-3107-ba2a-878a4cd18502>	14564.ttl	"Robin McKelle & The Flytones \""Stax Soul Session\"""	2014-09-07T20:00	Similarité :0.7775000000000001
<http://data.doremus.org/performance/4861b687-7eff-3430-84f4-32d6fb05a8fc>	1021884.ttl	"Jazz à la Villette. Robin McKelle & The Flytones \""Stax Soul Session\"""	2014-09-07T20:00	
				
<http://data.doremus.org/performance/33762e46-2ed3-3ac0-b316-3d976b7590a4>	14026.ttl	La Chambre Philharmonique - Emmanuel Krivine - Steven Isserlis	2014-12-16T20:00	Similarité :0.793
<http://data.doremus.org/performance/128665ae-5f02-3558-8acb-2cfd207202aa>	1028627.ttl	Guerre et Paix III. La Chambre Philharmonique, Emmanuel Krivine, Steven Isserlis	2014-12-16T20:00	
				
<http://data.doremus.org/performance/8862bd0c-1419-30b2-b602-f6b7f12d178b>	13238.ttl	Univers parallèles	2014-06-18T20:00	Similarité :0.6685
<http://data.doremus.org/performance/8c79a52a-1740-3c6e-8371-21e160e3ba9f>	1019811.ttl	Visions du monde. Univers parallèles	2014-06-18T20:00	
				
<http://data.doremus.org/performance/37424d83-3b4e-31e1-9e3f-3b06cc59df6d>	15128.ttl	Les Dissonances	2015-10-06T20:30	Similarité :0.7005
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>	1040876.ttl	Les Dissonances : David Grimal	2015-10-06T20:30	
				
<http://data.doremus.org/performance/fcb203bf-096f-3195-bd62-fdac7e38f2ce>	13428.ttl	Orchestre de Paris - Daniel Harding 	2014-05-07T20:00	Similarité :0.7655000000000001
