13500.ttl	cuartetocasals $date:2014-01-21T19:00	Cuarteto Casals
14344.ttl	youthorchestraofcaracasdietrichparedesedicsonruiz $date:2014-11-06T20:00	Youth Orchestra of Caracas - Dietrich Paredes - Edicson Ruiz
15546.ttl	scharounensemble $date:2015-11-08T16:30	Scharoun Ensemble
13528.ttl	rinaldoalessandrini $date:2014-03-20T19:00	Rinaldo Alessandrini
15332.ttl	maitresmotetfrancais $date:2016-05-19T20:30	Les Maîtres du Motet français
15178.ttl	maelstrom $date:2015-10-09T20:30	Maelström
16830.ttl	hommagenijinski $date:2016-10-23T16:30	Hommage à Nijinski
14179.ttl	orchestrephilharmoniqueradiofrancelaureatconcoursinternationalchefsorchestre $date:2014-09-26T20:00	Orchestre Philharmonique de Radio France - Lauréat du Concours International de chefs d'orchestre
15456.ttl	donquichotte $date:2015-11-17T19:00	Don Quichotte
15524.ttl	quatuorszymanovski $date:2016-01-18T19:00	Quatuor Szymanovski
15216.ttl	20pianos $date:2016-01-09T18:30	20 pianos
15175.ttl	inaugurationorguesymphonique $date:2015-10-29T20:30	Inauguration de l’orgue symphonique
15407.ttl	zimfirapoloz $date:2016-03-09T19:00	Zimfira Poloz
13138.ttl	ensemblevariancesfredericvaysseknitterjeanfrancoisbocle $date:2013-11-16T20:00	Ensemble Variances / Frédéric Vaysse-Knitter / Jean-François Boclé
13420.ttl	orchestrephilharmoniqueradiofrancemyungwhunchung $date:2014-04-25T20:00	Orchestre Philharmonique de Radio France - Myung-Whun Chung
15323.ttl	wagnermonologues $date:2016-05-11T20:30	Wagner Monologues
14173.ttl	orchestreparispaavojärvimaximvengerov $date:2014-09-11T20:00	Orchestre de Paris - Paavo Järvi - Maxim Vengerov
15942.ttl	edgarmoreausunwookkim $date:2016-04-18T20:30	Edgar Moreau - Sunwook Kim
15461.ttl	œilloup $date:2018-03-22T17:09	L’Œil du loup
13351.ttl	editagruberovamunchenerkammerorchesterdouglasboyd $date:2014-01-25T20:00	Edita Gruberova - Münchener Kammerorchester - Douglas Boyd
14044.ttl	orchestrechambreparis $date:2014-11-16T16:30	Orchestre de chambre de Paris
13532.ttl	christopherousset $date:2014-03-20T21:00	Christophe Rousset
13691.ttl	cartesblanchesconservatoireparis $date:2014-02-14T20:00	Cartes Blanches - Conservatoire de Paris 
15288.ttl	orchestrephilharmoniqueradiofrance $date:2018-03-22T17:09	Orchestre Philharmonique de Radio France
14127.ttl	vocello $date:2015-06-03T20:30	Vocello
13408.ttl	orchestrephilharmoniqueradiofrancemyungwhunchung $date:2014-04-11T20:00	Orchestre Philharmonique de Radio France - Myung-Whun Chung
13626.ttl	osmulheresnegrasbondedorole $date:2014-06-24T20:00	Os Mulheres Negras - Bonde do Rolê
15329.ttl	symphoniefantastique $date:2016-05-28T20:30	Symphonie fantastique
15553.ttl	romeojuliette $date:2016-01-24T11:00	Roméo et Juliette
14196.ttl	101pianistes $date:2015-01-17T16:00	101 Pianistes 
13697.ttl	topchefinitiationcuisineorchestrale $date:2014-03-22T11:00	Top chef: initiation à la cuisine orchestrale
13435.ttl	orchestrenationaliledefrancetadaakiotakaromaindescharmes $date:2018-03-22T17:09	Orchestre National d'Île-de-France - Tadaaki Otaka - Romain Descharmes
15157.ttl	portraitscour $date:2015-12-05T16:00	Portraits de la cour
15249.ttl	barbarahendricks $date:2016-03-12T20:30	Barbara Hendricks
13571.ttl	orchestrepasdeloupwolfgangdoernernamanjaradulovic $date:2014-05-24T16:00	Orchestre Pasdeloup - Wolfgang Doerner - Namanja Radulovic
15301.ttl	monteyoungtributeperformance $date:2016-05-21T18:00	La Monte Young Tribute Performance
15277.ttl	sacreprintemps $date:2016-04-08T20:30	Le Sacre du printemps
17536.ttl	routealanlomax $date:2016-09-11T16:00	Sur la route avec Alan Lomax
13436.ttl	orchestreparispaavojärvimaritasolbergmatthiasgoerne $date:2014-05-21T20:00	Orchestre de Paris - Paavo Järvi - Marita Sølberg - Matthias Goerne 
14063.ttl	risingstarsomobello $date:2015-01-23T20:30	Rising Stars : Omo Bello 
17622.ttl	sarahmurcia&magicmalikcarteblanchesarahmurcia $date:2016-09-09T20:00	Sarah Murcia & Magic Malik (carte blanche à Sarah Murcia)
17534.ttl	pierreandtheloup $date:2016-09-03T11:00	Pierre and The Loup
13471.ttl	tracesrichardwagner $date:2018-03-22T17:09	Sur les traces de Richard Wagner
14058.ttl	concertouverturechœurorchestreparis $date:2018-03-22T17:09	Concert d'ouverture du Chœur de l'Orchestre de Paris
14307.ttl	igudesman&joo $date:2018-03-22T17:09	Igudesman & Joo
14507.ttl	boulezbejart $date:2015-03-20T20:30	Boulez - Béjart
14065.ttl	risingstarsquatuorardeo $date:2015-01-25T16:30	Rising Stars : Quatuor Ardeo
13151.ttl	ensembleintercontemporainorchestreconservatoireparislotharkoenigs $date:2013-12-14T20:00	Ensemble intercontemporain - Orchestre du Conservatoire de Paris - Lothar Koenigs
14282.ttl	russiannationalorchestra1 $date:2018-03-22T17:09	Russian National Orchestra 1
17624.ttl	marcnammourspectreorchestra $date:2018-03-22T17:09	Marc Nammour \"Spectre Orchestra\"
14513.ttl	suitesdansees $date:2015-03-13T20:30	Suites dansées
14332.ttl	orchestreparisjosepponschadhoopes $date:2014-10-09T20:00	Orchestre de Paris - Josep Pons - Chad Hoopes
17526.ttl	tributetofelafeatseunkuti&egypt80talibkweliibeyitonyallencheicktidianeseck $date:2016-09-08T20:00	\"Tribute to Fela\" feat. Seun Kuti & Egypt 80, Talib Kweli, Ibeyi, Tony Allen, Cheick Tidiane Seck..
